"cnpj","nome_coop","auditorIndependente"
71432926,"COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DE SAÚDE E DE LIVRE ADMISSÃO DO TRIÂNGULO MINEIRO E SUL DE MINAS LTDA. - UNICRED PROGRESSO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
5979692,"COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DOS CREAS E DEMAIS ÁREAS TECNOLÓGICAS - CREDCREA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
1235921,"COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS MUNICIPAIS DA GRANDE VITÓRIA/ES","D'AGOSTINI CONSULTORIA E AUDITORIA S/S"
7412987,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL ALIANÇA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5425526,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL DESENVOLVIMENTO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
3485130,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL ENCOSTAS DA SERRA GERAL","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5070112,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL INOVAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
8055016,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL INTERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5269976,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL MAIS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2663426,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL NOROESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7509426,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL XANXERÊ","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2844024,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA CRESOL EVOLUÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7320890,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA CRESOL VALE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
4565791,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ARATIBA - CRESOL ARATIBA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2904125,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE JACUTINGA - CRESOL JACUTINGA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
3015152,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE SÃO VALENTIM - CRESOL SÃO VALENTIM","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5863726,"COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL PLANALTO SERRA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7215632,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA ALTERNATIVA - CRESOL ALTERNATIVA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
7465539,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA ALTO VALE - CRESOL ALTO VALE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
5211129,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CENTRO NORTE - CRESOL CENTRO NORTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
1155801,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CENTRO SERRA - CRESOL CENTRO SERRA","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
2910987,"COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA CENTRO SUL RS/MS - CRESOL CENTRO SUL RS/MS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
